18,18.6,50.5,801,11,9,9,12,1006,46,3,347
18,18.6,50.8,801,11,9,9,12,1006,46,3,347
18,18.6,50.8,801,11,9,9,12,1006,46,2,311
18,18.7,50.9,801,11,9,9,12,1006,46,3,347
19,18.7,51.5,801,11,9,9,12,1006,47,1,285
19,18.7,51.8,801,11,9,9,12,1006,46,3,347
19,18.7,51.5,801,11,9,9,12,1006,47,1,285
19,18.8,51.4,801,11,9,9,12,1006,47,1,285
19,18.8,51.3,801,11,9,9,12,1006,47,1,285
19,18.7,50.9,801,11,9,9,12,1006,47,1,285
19,18.7,51,801,11,9,9,12,1006,47,1,285
19,18.8,50.8,801,11,9,9,12,1006,47,1,285
19,18.8,51.1,801,11,9,9,12,1006,47,1,285
19,18.8,51.1,801,11,9,9,12,1006,46,4,348
19,19.7,48.3,801,11,9,9,11,1006,47,4,300
19,19.3,49.4,801,11,9,9,11,1006,47,4,300
19,19,50.3,801,10,9,9,12,1006,48,2,207
19,18.9,50.6,801,10,9,9,12,1006,48,2,207
19,19,50.5,801,10,9,9,12,1006,49,4,254
19,18.8,49.9,801,10,9,9,12,1006,49,4,254
19,18.7,49.6,801,10,9,9,12,1006,49,4,57
19,18.6,50.1,801,10,9,9,12,1006,49,4,57
19,18.4,50.1,801,10,9,9,12,1006,49,4,57
20,18.3,50.2,801,10,9,9,12,1006,49,3,252
20,18.2,50.4,801,10,9,9,12,1006,49,3,5
20,18,50.4,801,10,9,9,11,1006,49,3,309
20,18,50.5,801,10,9,9,11,1006,49,3,309
20,17.9,50.9,801,10,9,9,11,1006,49,3,309
20,17.8,51,801,10,8,9,11,1006,49,4,150
20,17.7,51.4,801,10,9,8,11,1007,49,2,327
